rec_id,deptype,depname,country,status,latitude,longitude
1,carb,Adiounedj,Mali,Occurrence,20.18333333,0.066666667
2,carb,Agate Mountain,Namibia,Occurrence,-18.45,12.08333333
3,carb,Aley,Canada,,56.45,-123.7333333
4,carb,Amma (Amba) Dongar (Ambadungar),India,Active F producer (2002),,
5,carb,Anezrouf,Mali,Occurrence,20.06666667,0.05
6,carb,"Argor (South Bluff Creek, James Bay, Alpha-B)",Canada,,50.75,-81.01666667
7,carb,Bailundo,Angola,Occurrence,-12.15,15.95
8,carb,Barra do Itapirapua,Brazil,Occurrence,-24.68333333,-49.21666667
9,carb,Bayan Obo (Baotou),China,Current producer,41.75,109.9666667
10,carb,Bear Lodge Mountains (southern),United States,"Large, low-grade resource of REE-Th",44.48333333,-104.45
11,carb,Bearpaw Mountains (Rocky Boy),United States,Occurrence,48.16666667,-109.7333333
12,carb,Big Spruce Lake,Canada,Occurrence,63.55,-115.9166667
13,carb,Bonga,Angola,Occurrence,-4.266666667,13.96666667
14,carb,Bou Naga,Mauritania,Past small producer?,20.8,-13.7
15,carb,Capuia,Angola,Occurrence,-11.9,16.25
16,carb,Carb Lake,Canada,Occurrence,54.8,-92
17,carb,Cerro Manomo,Bolivia,Occurrence,-15.5,-60.71666667
18,carb,Changit,Russia,Occurrence,70.2,100.1
19,carb,Chernigovskii (Novopoltavskii),Ukraine,Occurrence,47.23333333,36.25
20,carb,Chiriguelo,Paraguay,Occurrence,-22.65,-55.95
21,carb,Coola,Angola,Occurrence,-12.51666667,15.26666667
22,carb,Dalkainle,Somalia,Occurrence,10.4,43.26666667
23,carb,Deep Creek,United States,Occurrence,42.05,-119.95
24,carb,Eldor Carbonatite Complex,Canada,Occurrence,56.6,-68.41666667
25,carb,Elet'ozerskii (Elet'ozero),Russia,Occurrence,66.06666667,31.95
26,carb,Elk Creek,United States,,40.3,-96.2
27,carb,Eureka,Namibia,Potential resource,-21.96666667,15.31666667
28,carb,Fen,Norway,Past Nb-Fe producer; REE occurrence,59.28333333,9.283333333
29,carb,Francon Quarry - Orleans (Eastview),Canada,Occurrence,45.46666667,-75.55
30,carb,Gatineau,Canada,,,
31,carb,Gem Park,United States,"Past prod of vrm, Ni, Ag",38.26666667,-105.55
32,carb,Glenover,South Africa,Past P producer,-24.68333333,27.35
33,carb,"Gornoe Ozero (Gornoozerskii, Ozrnyi)",Russia,Occurrence,59.93333333,136.8833333
34,carb,Goudini,South Africa,,-25.13333333,26.2
